ticker_a,ticker_b,sector,pvalue,test_stat,hedge_ratio,orientation,half_life,sharpe,annualized_return,annualized_volatility,total_return,max_drawdown,n_trades,win_rate,avg_holding_days,gross_pnl,total_costs,net_pnl
ALL,JPM,financials,0.044486101642862826,-3.3811637179256184,0.5235531048637911,ALL on JPM,30.203609139795716,-0.22249906795722027,-0.025330385763213756,0.11384490728780945,-0.10081895603374363,-0.2339261763886843,24,0.6666666666666666,21.25,-0.05205997464572385,0.04875898138801976,-0.10081895603374362
CVX,EOG,energy,0.01563378387687371,-3.7531448760671227,0.7141798230037467,CVX on EOG,19.67088739778616,-0.2485948016035378,-0.018631648623507434,0.07494786095013133,-0.074156918926103,-0.15422534836184953,33,0.6363636363636364,13.121212121212121,-0.00795896624266447,0.06619795268343855,-0.07415691892610296
CVX,FANG,energy,0.0036599514443098917,-4.199049041684103,0.5016217580482444,CVX on FANG,12.740640687335723,-0.249098614821603,-0.02112069025553509,0.08478846930024521,-0.08406369970754642,-0.19654641546207496,33,0.5454545454545454,15.969696969696969,-0.017565553625713368,0.0664981460818331,-0.08406369970754651
CB,PNC,financials,0.014766368680698338,-3.771993143319638,0.6957320957793227,CB on PNC,24.836600684884292,-0.26630103932147176,-0.024999552643367454,0.09387703745755435,-0.09950218770356173,-0.15115144326877372,30,0.6,16.733333333333334,-0.03910250425001825,0.0603996834535434,-0.09950218770356163
ALL,COF,financials,0.0170915729609766,-3.7234470186085464,0.38787993766187706,ALL on COF,22.47828164167622,-0.27525522523657964,-0.037663578920542055,0.1368314766347143,-0.14990702244961776,-0.2769734044233505,25,0.64,18.56,-0.09903279084331809,0.05087423160629963,-0.14990702244961768
CFG,MET,financials,0.020462896168581636,-3.6624634962248446,0.7784028329757495,CFG on MET,15.651754212134808,-0.2759512166740607,-0.021851969605567553,0.07918779945579284,-0.08697430759676292,-0.15453491417835907,30,0.7,14.566666666666666,-0.026269549359745365,0.06070475823701761,-0.086974307596763
AMP,MS,financials,0.02785914059978804,-3.554515253378231,2.786970166802956,AMP on MS,31.0307092829272,-0.29024887412523687,-0.021978308576254307,0.07572228709755852,-0.08747715675390107,-0.12781537924224118,28,0.5714285714285714,17.321428571428573,-0.030566578067793608,0.056910578686107445,-0.08747715675390105
TROW,MS,financials,0.013953197107283903,-3.790571461384987,1.6362583400713127,TROW on MS,19.348752420369593,-0.30692071472951027,-0.030994539729231923,0.10098549313149967,-0.12336318789055403,-0.1802603256636819,24,0.5833333333333334,15.958333333333334,-0.07498582105074225,0.04837736683981181,-0.12336318789055406
MET,PNC,financials,0.036169330014953656,-3.459388697329336,0.3030221761395536,MET on PNC,21.947280476031622,-0.30808291400959265,-0.022483742721586927,0.07297951849704609,-0.08948886487996702,-0.2026706009004845,28,0.6428571428571429,15.75,-0.03295874145175236,0.056530123428214674,-0.08948886487996699
VLO,KMI,energy,0.017761227476827887,-3.710544075809402,5.904151064444661,VLO on KMI,22.5799362202474,-0.3627154635917946,-0.04168932971437065,0.11493673112676678,-0.1659301496171181,-0.28639659626068814,28,0.5714285714285714,16.857142857142858,-0.10981060147356786,0.05611954814355025,-0.16593014961711808
HAL,BKR,energy,0.04326179168017123,-3.391867616794425,1.2119791615140407,HAL on BKR,34.22349032809495,-0.38256326847965694,-0.04127611844591673,0.1078935743359575,-0.16428550317958127,-0.32684521401421807,29,0.5172413793103449,15.689655172413794,-0.10526786298656396,0.05901764019301735,-0.16428550317958127
PSX,KMI,energy,0.0371078183750787,-3.4498480232523865,6.15681758333869,PSX on KMI,37.83759562109795,-0.40014173452605106,-0.04205255433024066,0.10509414715275806,-0.16737584124298166,-0.3828720111943166,29,0.6206896551724138,17.896551724137932,-0.10920643562915001,0.05816940561383162,-0.16737584124298163
AXP,MET,financials,0.034826816457577625,-3.473406186602644,2.7382862419458376,AXP on MET,22.613393339290624,-0.4183793064724602,-0.03678738459720353,0.08792830818372482,-0.14641962996426644,-0.27729530315844464,32,0.46875,17.1875,-0.08186907108187053,0.0645505588823959,-0.14641962996426644
